startYear,runtimeMinutes,numVotes
1927.0,106.0,1240
1927.0,69.0,1111
1927.0,86.0,948
1927.0,82.0,843
1927.0,78.0,816
1927.0,92.0,792
1927.0,80.0,746
1927.0,78.0,740
1927.0,115.0,704
1927.0,45.0,689
1927.0,71.0,679
1927.0,99.0,674
1927.0,104.0,606
1927.0,60.0,546
1927.0,85.0,528
1927.0,91.0,515
1927.0,80.0,479
1927.0,76.0,476
1927.0,70.0,438
1927.0,150.0,428
1927.0,60.0,401
1927.0,75.0,369
1927.0,144.0,348
1927.0,90.0,346
1927.0,70.0,343
1927.0,118.0,331
1927.0,60.0,329
1927.0,88.0,279
1927.0,111.0,270
1927.0,115.0,259
1927.0,135.0,246
1927.0,68.0,238
1927.0,60.0,228
1927.0,87.0,222
1927.0,120.0,221
1927.0,85.0,196
1927.0,62.0,189
1928.0,110.0,40918
1928.0,72.0,23024
1928.0,70.0,11708
1928.0,69.0,9258
1928.0,98.0,6845
1928.0,95.0,5558
1928.0,110.0,4815
1928.0,76.0,3499
1928.0,83.0,3295
1928.0,63.0,3036
1928.0,88.0,2946
1928.0,85.0,2898
1928.0,178.0,2817
1928.0,97.0,2389
1928.0,80.0,2307
1928.0,78.0,2259
1928.0,100.0,2243
1928.0,102.0,1957
1928.0,69.0,1840
1928.0,86.0,1758
1928.0,127.0,1602
1928.0,73.0,1594
1928.0,65.0,1439
1928.0,113.0,1385
1928.0,85.0,1380
1928.0,98.0,1287
1928.0,96.0,1100
1928.0,84.0,960
1928.0,80.0,947
1928.0,85.0,880
1928.0,100.0,825
1928.0,95.0,792
1928.0,50.0,784
1928.0,195.0,754
1928.0,68.0,738
1928.0,60.0,710
1928.0,88.0,702
1928.0,113.0,654
1928.0,57.0,653
1928.0,135.0,597
1928.0,92.0,596
1928.0,80.0,592
1928.0,78.0,576
1928.0,100.0,555
1928.0,64.0,498
1928.0,84.0,482
1928.0,66.0,452
1928.0,78.0,380
1928.0,84.0,375
1928.0,88.0,374
1928.0,80.0,371
1928.0,90.0,332
1928.0,80.0,329
1928.0,87.0,315
1928.0,79.0,311
1928.0,80.0,309
1928.0,102.0,304
1928.0,72.0,298
1928.0,60.0,278
1928.0,74.0,276
1928.0,107.0,268
1928.0,108.0,260
1929.0,109.0,8945
1929.0,85.0,8646
1929.0,96.0,6462
1929.0,100.0,5792
1929.0,104.0,3660
1929.0,156.0,2591
1929.0,110.0,2348
1929.0,76.0,1863
1929.0,107.0,1774
1929.0,130.0,1725
1929.0,76.0,1628
1929.0,90.0,1541
1929.0,109.0,1425
1929.0,90.0,1253
1929.0,92.0,1224
1929.0,80.0,1202
1929.0,90.0,1173
1929.0,121.0,1118
1929.0,111.0,1110
1929.0,95.0,1069
